id,existing_score,open_to_buy,months_since_first_loan_issued,existing_credit_card_utilization,n_months_mortgage_loan_paid
0,287.0,68.0,52.0,,12.0
1,457.0,603.0,,,6.0
2,227.0,757.0,9.0,54.0,2.0
3,658.0,8207.0,155.0,10.0,11.0
4,269.0,384.0,58.0,98.0,13.0
5,350.0,2570.0,41.0,91.0,12.0
6,439.0,9087.0,67.0,63.0,14.0
7,545.0,5156.0,32.0,90.0,11.0
8,364.0,10247.0,25.0,43.0,10.0
9,372.0,615.0,7.0,29.0,0.0
10,465.0,1082.0,,,1.0
11,252.0,55.0,36.0,,10.0
12,611.0,5754.0,38.0,27.0,11.0
13,470.0,1007.0,11.0,10.0,11.0
14,484.0,513.0,,,0.0
15,134.0,75.0,,,4.0
16,476.0,916.0,14.0,90.0,9.0
17,550.0,4670.0,29.0,0.0,11.0
18,466.0,3003.0,34.0,0.0,10.0
19,432.0,319.0,22.0,83.0,10.0
20,393.0,1322.0,42.0,,13.0
21,321.0,223.0,198.0,103.0,11.0
22,670.0,18317.0,99.0,7.0,11.0
23,455.0,2370.0,0.0,,13.0
24,405.0,,,,7.0
25,312.0,,,,5.0
26,589.0,8277.0,176.0,24.0,12.0
27,361.0,640.0,,,14.0
28,487.0,869.0,32.0,85.0,9.0
29,550.0,21326.0,212.0,41.0,12.0
30,462.0,,,,
31,385.0,845.0,15.0,88.0,10.0
32,304.0,1576.0,21.0,43.0,8.0
33,374.0,114.0,25.0,77.0,9.0
34,577.0,10817.0,138.0,5.0,12.0
35,666.0,16766.0,88.0,32.0,4.0
36,333.0,,99.0,,10.0
37,183.0,,,,2.0
38,548.0,5049.0,11.0,40.0,9.0
39,445.0,4185.0,208.0,2.0,8.0
40,421.0,,,,14.0
41,560.0,5520.0,21.0,63.0,10.0
42,606.0,20893.0,102.0,64.0,10.0
43,564.0,62408.0,87.0,88.0,11.0
44,390.0,4710.0,80.0,82.0,7.0
45,617.0,8108.0,87.0,47.0,12.0
46,420.0,3026.0,63.0,108.0,11.0
47,341.0,201.0,13.0,53.0,2.0
48,349.0,305.0,41.0,72.0,9.0
49,339.0,4079.0,34.0,57.0,8.0
50,590.0,1972.0,,,3.0
51,738.0,48847.0,95.0,0.0,9.0
52,538.0,8159.0,103.0,0.0,7.0
53,628.0,98105.0,176.0,52.0,9.0
54,495.0,1630.0,59.0,100.0,12.0
55,747.0,10668.0,123.0,13.0,11.0
56,432.0,4352.0,13.0,27.0,4.0
57,339.0,37.0,127.0,90.0,13.0
58,402.0,3009.0,46.0,6.0,13.0
59,214.0,270.0,,,10.0
60,589.0,5257.0,145.0,0.0,13.0
61,419.0,975.0,,,5.0
62,540.0,240.0,,,1.0
63,466.0,1516.0,13.0,,2.0
64,252.0,111.0,,,0.0
65,566.0,6321.0,50.0,48.0,12.0
66,582.0,2673.0,39.0,,11.0
67,369.0,1072.0,121.0,98.0,13.0
68,560.0,517.0,21.0,76.0,5.0
69,294.0,,93.0,,12.0
70,528.0,,,,
71,382.0,10150.0,209.0,7.0,13.0
72,374.0,,,,
73,451.0,878.0,49.0,24.0,7.0
74,254.0,1262.0,46.0,104.0,9.0
75,564.0,1703.0,12.0,20.0,11.0
76,536.0,6611.0,165.0,67.0,11.0
77,336.0,,,,
78,697.0,45743.0,281.0,0.0,13.0
